"platform_name","platform_url","category","adventure_scope_fit","primary_user","primary_customer","geography","listing_model","employer_profile_depth","housing_visible","meals_visible","pay_visible","map_discovery","mobile_discovery","trust_features","pricing_public","strength_summary","gap_summary","exploreandearn_differentiation","source_urls","date_accessed","confidence_score"
"CoolWorks","https://www.coolworks.com/","Niche seasonal/adventure job board; employer-branding profiles; optional seasonal-employer ATS.","High / direct. Observed: the site explicitly covers jobs in national parks, ski resorts, summer camps, dude ranches, resorts, islands, beaches, and other “great places,” with seasonal and year-round roles.","Observed: adventure-seeking seasonal and place-motivated job seekers, including first-time and experienced seasonal workers.","Observed: seasonal and year-round employers in destination hospitality, parks, resorts, camps, ranches, lodges, recreation, and adjacent “great place” operations.","Observed: employers across the United States plus some international and volunteer opportunities; discovery is especially deep by U.S. state, park, and destination region.","Observed: paid 7-day multi-position Help Wanted ads; paid 30-day single-position Highlighted Jobs; paid Enhanced Employer Profiles with a self-service multi-job list; paid boosts; XML/ATS feed support; separate Staffing Center ATS.","High. Observed: Enhanced Profiles support organization/location story, employee experience, ideal candidate, room and board, perks, culture, recreation, photos/video, and all open jobs.","yes — Observed: housing is a first-class filter and profile topic, including employer housing, self-arranged housing, pet-friendly, family, and private-housing options.","yes — Observed: room-and-board/meal information is an explicit employer-profile topic and is commonly surfaced in public employer content; completeness remains employer supplied.","yes — Observed: public employer guidance says starting wages should be included, and the Enhanced Profile job-list instructions call for starting wages.","yes — Observed: a public Job Map shows the locations of the 50 most recent posts.","partial — Observed: public web search, saved searches/favorites, and alerts are supported; unknown: no current official evidence of a dedicated CoolWorks mobile app was found.","partial — Observed: CoolWorks reviews new employer registrations for niche fit, publishes scam/fraud guidance, and gives job seekers direct employer context. Not observed: universal identity verification, worker reviews, or a verified-housing audit.","yes — Observed: Help Wanted is $149/7 days; Highlighted Job is $169/30 days; Enhanced Employer Profile is $289 for one month, $179/month for three months, $139/month for six months, or $119/month for twelve months, billed up front; Featured Boost is $189/7 days. Public package and nonprofit-discount terms are also shown.","Observed: the closest direct competitor in this set: adventure-first taxonomy, strong destination storytelling, unusually explicit housing discovery, a job map, established employer products, and domain-specific recruiting guidance.","Observed/inference: listings remain employer-authored advertising; meal and total living-cost comparison is less normalized than housing; the map is limited to the most recent 50 posts; posting is paid; and verification is fit review rather than a public proof system for job, housing, or employment terms.","Inference: differentiate safely through structured, comparable pay + housing cost/type + meals + transport + dates + work authorization + direct-source provenance; a complete map rather than a recent-post map; visible freshness/verification dates; and worker decision tools that calculate likely net seasonal value without copying CoolWorks' brand language or editorial presentation.","https://www.coolworks.com/find-a-job/;https://www.coolworks.com/post-a-job;https://www.coolworks.com/faqs;https://employerhelp.coolworks.com/hc/en-us/articles/18651968831899-Intro-to-the-Enhanced-Employer-Profile;https://employerhelp.coolworks.com/hc/en-us/articles/18651079498651-The-Job-List","2026-07-12","97"
"Occupation Wild","https://www.occupationwild.com/","Niche outdoor, adventure, and travel-industry job board with custom employer pages and social promotion.","High / direct. Observed: the employer page says it only posts outdoor, adventure, and travel-industry jobs, covering both seasonal and full-time work.","Observed: outdoor-industry veterans and “passionate newbies” seeking adventure, travel, camp, guide, outdoor-education, and related roles.","Observed: employers in outdoor recreation, adventure, travel, camps, outdoor education, tourism, and related sectors.","Observed: the reviewed public inventory was primarily U.S.-based. Unknown: a definitive current geographic coverage statement was not found.","Observed: paid Standard or Featured monthly listings, 7-day Peak and Hot placements, plus social/newsletter add-ons; each base package receives a custom job page and can include multiple positions without an added per-position fee.","High. Observed: custom public pages can include company/location story, multiple jobs, role details, pay/perks, housing, meals, visuals, and application links.","yes — Observed: public pages display housing status/details where employers provide them, but no dedicated housing filter was observed.","yes — Observed: meals/room-and-board can be displayed prominently on public employer pages, but no standardized meals field/filter was observed.","yes — Observed: compensation and perks are displayed on public employer pages when supplied.","no — Observed: the current public product evidence showed page/list discovery, not a job map.","partial — Observed: web pages plus Instagram/TikTok/newsletter promotion support mobile reach; unknown: no dedicated job-search app was found in the reviewed official pages.","partial — Observed: listings are niche-gated and presented as custom pages; not observed: identity/workplace verification, independent employee reviews, or audited housing claims.","yes — Observed: Peak is $300/7 days; Featured is $270 for one month, $170/month for three months, $120/month for six months, and $109/month for twelve months; Standard is $130, $109/month, $89/month, and $69/month for the same terms; Hot is $170/7 days; current public add-ons include newsletter and custom short-form video pricing.","Observed: tight adventure-industry scope, visually rich custom pages, multiple roles per employer page, and unusually strong social-channel amplification.","Observed/inference: benefit fields are narrative rather than comparable; no public job map or worker-review layer was observed; information depth varies by employer page; and smaller niche inventory competes with much broader aggregators.","Inference: provide normalized job/living logistics, map-first discovery, verified source/freshness signals, and side-by-side opportunity comparison while positioning social/editorial storytelling as optional context rather than the data model.","https://www.occupationwild.com/postajob;https://www.occupationwild.com/experience-learning;https://www.occupationwild.com/oars","2026-07-12","91"
"Backdoorjobs","https://www.backdoorjobs.com/","Editorially produced niche directory/advertising site for short-term job adventures.","High / direct. Observed: channels include North American and worldwide adventure jobs, wilderness therapy, conservation, outdoor education, farms, camps/ranches, resorts/hospitality, and community/teaching work.","Observed: people seeking short-term work, travel, learning, service, and outdoor/adventure experiences.","Observed: camps, outdoor schools, conservation corps, farms, therapeutic programs, lodges/resorts, hospitality operators, and other short-term-work hosts.","Observed: U.S.-heavy with state directories, plus worldwide adventure and abroad directories.","Observed: paid Basic or Enhanced subscriptions; staff writes/edits the listing from employer-submitted details; public pages send candidates to the employer/application source; optional homepage/channel banners.","High for Enhanced; medium for Basic. Observed: Enhanced pages support unlimited content/links, images, video, testimonials, contact details, a Google map, and weather; Basic pages include a shorter editorial listing plus visuals and source links.","yes — Observed: housing is frequently visible in public editorial listings/profile pages when offered, but it is not a normalized platform-wide field/filter.","yes — Observed: meals are frequently surfaced in listing narratives, but they are not a normalized field/filter.","yes — Observed: compensation is routinely surfaced in public listing/profile narratives when supplied.","partial — Observed: Enhanced employer pages can include an embedded Google map; not observed: a platform-wide interactive jobs map.","unknown — Observed: public pages are accessible without login; current official evidence did not establish a dedicated app or an explicit mobile-first discovery feature.","partial — Observed: a named operator, staff-written listings, direct source links, and hands-on revisions create editorial accountability. Not observed: systematic employer identity verification, worker reviews, or audited living conditions.","yes — Observed: new-client Basic subscriptions are $175/3 months, $250/6 months, and $325/year; Enhanced is $500/year; current public banner examples are $50/week on the home page and $75/month for a channel headline.","Observed: unusually human, editorial presentation; broad definition of meaningful/adventure work; direct-source linkage; and deep long-form profiles that can explain the lived experience.","Observed/inference: manually curated narrative pages are hard to compare at scale; there is no platform-wide map or normalized housing/meals/pay schema; freshness depends on manual revisions; and the site is an advertising directory rather than a transaction or verification platform.","Inference: retain the human value of place/context while making every operational term structured, filterable, date-stamped, source-linked, and comparable; add full map discovery and explicit verification status.","https://www.backdoorjobs.com/;https://www.backdoorjobs.com/contact.html;https://www.backdoorjobs.com/advertise.html","2026-07-12","95"
"SeasonalJobs.dol.gov","https://seasonaljobs.dol.gov/","U.S. Department of Labor public registry/search portal for H-2A and H-2B temporary or seasonal job orders.","Low-to-partial. Observed: it covers regulated agricultural and non-agricultural temporary/seasonal work; some hospitality/tourism roles can appear, but the portal is not adventure- or destination-lifestyle-curated.","Observed: U.S. workers searching certified temporary opportunities, prospective H-2A/H-2B workers checking job terms, worker advocates, and third-party job-search intermediaries consuming the feeds.","Observed: U.S. employers participating in H-2A/H-2B labor-certification processes; this is not a commercial advertiser/customer relationship.","Observed: United States job locations; federal H-2A/H-2B program scope.","Observed: government publication of job orders/case data arising from the OFLC process; direct application to the employer using recruitment information; public daily JSON feeds for redistribution; current and archive search.","Low as branding; high as job-order detail. Observed: case/job-order documents expose legal and operational terms, not lifestyle-oriented employer profiles.","yes — Observed: housing terms can be part of the official job order; H-2A orders include no-cost housing obligations for eligible workers, while H-2B housing terms vary.","partial — Observed: H-2A terms address meals or cooking facilities and individual orders may disclose meal arrangements; no platform-wide meal filter was observed.","yes — Observed: wage information is part of the job order, and public search includes a wage-type filter.","no — Observed: current public search supports city/state/ZIP and radius, not a map interface.","yes — Observed: DOL describes the portal as mobile-friendly.","yes — Observed: official DOL/OFLC provenance, case numbers, regulated job orders, required material terms, direct employer recruitment information, Spanish translation, and government worker-rights context. Caveat: publication is not a guarantee of future employer performance.","not applicable — Observed: this is a regulatory/public-information channel, not a commercial self-service job-posting product; no posting price is represented.","Observed: strongest official provenance in the set; wage and material terms tied to a federal case; worker-rights context; Spanish access; public daily feeds; and direct employer recruitment information.","Observed/inference: limited to H-2A/H-2B process inventory; not designed for inspiration or employer storytelling; no map; living terms can be buried in long forms; and the live search returned intermittent public fetch errors during research.","Inference: curate leisure/adventure relevance and create readable structured summaries while linking back to the official job order as source of truth; never imply that Explore&Earn replaces DOL eligibility, visa, or rights guidance.","https://seasonaljobs.dol.gov/about;https://seasonaljobs.dol.gov/jobs;https://seasonaljobs.dol.gov/feeds;https://www.dol.gov/general/migrantworker/recruitment?lang=en;https://www.dol.gov/agencies/whd/fact-sheets/26a-recruitment-requirements-H-2A","2026-07-12","97"
"SeasonWorkers","https://www.seasonworkers.com/","Global seasonal-work, working-travel, courses, and placements marketplace with recruiter profiles and MySeason personalization.","High / direct. Observed: major sectors include summer seasons, ski seasons, gap-year opportunities, outdoor sports, TEFL, childcare, hospitality, campsites, and working travel.","Observed: mainly younger people seeking seasonal work, travel, training, gap-year, and international placements.","Observed: seasonal employers/recruiters plus course, placement, tour, and gap-year providers.","Observed: UK and Europe are prominent, with worldwide jobs/courses/placements.","Observed: free recruiter account and directory entry; paid monthly listing credits; hosted application forms or redirect to the recruiter's site; optional paid company profile; job/course/tour/placement inventory in one system.","High. Observed: company profiles can include listings, galleries, articles/news, video, social connections, advice content, and application/contact paths.","yes — Observed: current search cards display accommodation as Provided, Not provided, Optional (sometimes with cost), or Not specified.","partial — Observed: meal information may appear in listing/package narrative; no current public standardized meal field/filter was established.","yes — Observed: current public search cards display pay/earnings when supplied, including “competitive” or program-cost context where applicable.","no — Observed: current public evidence showed sector/location/employer filtering and cards, not a map.","partial — Observed: MySeason provides saved listings, followed employers, recommendations, and a personalized feed through the web product; unknown: no dedicated current mobile app was established.","partial — Observed: recruiter accounts, public profiles/contact paths, platform history, and controlled application routing. Not observed: universal employer identity verification, independent worker reviews, or verified living-condition claims.","yes — Observed: credits range from £54 for one to £1,200 for 100 (excluding VAT), with cost per credit declining from £54 to £12; one listing with multiple locations uses one credit per month; a Company Profile uses one credit per month.","Observed: broad international seasonal inventory, first-class accommodation visibility, strong Europe/working-travel reach, personalized MySeason discovery, and deep recruiter media/content tools.","Observed/inference: paid jobs, courses, placements, and candidate-paid programs coexist and require careful interpretation; meals are not normalized; no map was observed; and U.S. destination-employer depth is weaker than the Europe/UK orientation.","Inference: clearly separate employer-paid jobs from paid training/placement programs; prioritize U.S. destination work initially; normalize housing cost/type, meals, transport, work authorization, program fees, and net value; add verified direct-source and map layers.","https://www.seasonworkers.com/;https://www.seasonworkers.com/about-us;https://www.seasonworkers.com/contact-us;https://www.seasonworkers.com/recruitment","2026-07-12","94"
"AlaskaTourJobs","https://www.alaskatourjobs.com/","Single-employer recruitment/employee-experience portal for HAP Alaska-Yukon (Holland America Line and Princess Cruises land operations), with an external ATS.","High but narrow. Observed: seasonal Alaska/Yukon lodge, motorcoach, rail, transportation, guest-services, food-and-beverage, rooms, maintenance, retail, and administration work is presented as a destination experience.","Observed: job seekers considering seasonal or year-round work with HAP Alaska-Yukon.","Observed: internal HAP Alaska-Yukon recruiting teams; it is not an open multi-employer job board.","Observed: Alaska and Canada's Yukon Territory.","Observed: employer-owned career marketing site with department/location/life/perk content; seasonal openings link to an external Pinpoint ATS and year-round openings to a separate corporate ATS.","High. Observed: locations, departments, “life in Alaska,” perks, testimonials, sustainability, events, social content, and housing/living documents create deep single-employer context.","yes — Observed: public location/life materials include employee-housing and RV information; availability and rules vary by site.","yes — Observed: public employee-living documents describe location-specific meal-plan availability/options.","partial — Observed: pay is job-specific in the linked application system rather than a consistently visible field on the main AlaskaTourJobs discovery pages.","yes — Observed: the homepage has an interactive numbered location exploration section.","partial — Observed: the public site and linked ATS provide web discovery; unknown: no dedicated job-seeker app was established.","partial — Observed: direct employer/brand provenance, Equal Opportunity Employer statement, corporate ATS links, named locations, and detailed employee-life documents. Not observed: independent reviews or third-party verification of living conditions.","not applicable — Observed: this is a single employer's own recruiting site, not a paid listing marketplace.","Observed: very deep destination-specific employer story, location exploration, recruiting events, departments, employee life, housing, meal-plan, and transportation context from the direct employer.","Observed/inference: not a marketplace; candidates cannot compare employers; job and lifestyle data are split across the marketing site, PDFs, and ATS; pay visibility is job-dependent; and some public housing/RV collateral found during research still referenced 2025 terms, so freshness must be checked document by document.","Inference: aggregate multiple Alaska operators and other destinations into one comparable schema, show source/freshness dates at field level, and let users compare living costs and terms while routing applications to the employer's official ATS.","https://www.alaskatourjobs.com/;https://www.alaskatourjobs.com/lifeinalaska;https://www.alaskatourjobs.com/locations;https://alaskatourjobs.com/assets/images/lifeInAlaska/rv/rv-pdfs/Healy_%28Denali%29_RV_Info.pdf","2026-07-12","91"
"Indeed","https://www.indeed.com/","Broad global job-search, aggregation, matching, employer-branding, and hiring platform.","Partial. Observed: seasonal is a job-type filter and adventure/housing terms can be searched, but destination lifestyle is not a core taxonomy.","Observed: general job seekers across industries and experience levels.","Observed: employers of all sizes, staffing/recruiting organizations, and enterprise ATS/career-site customers.","Observed: international via Indeed Worldwide/localized markets, with deep U.S. coverage.","Observed: eligible direct jobs can be free within limits; Sponsored Jobs use results-based budgets; some inventory is aggregated from employer sites, ATSs, feeds, and partner sources; Easy Apply/external apply; company pages and Smart Sourcing.","High for general employment context. Observed: Company Pages can include reviews, ratings, photos, salaries, benefits/work-wellbeing context, Q&A, and open jobs; seasonal housing/lifestyle is not a standard profile module.","partial — Observed: housing can be present in listing text/benefits and found by keyword; no dedicated housing filter was established on current official search guidance.","partial — Observed: meals can appear in job text/benefits; no dedicated meal filter was established.","yes — Observed: pay/salary is a search filter, job posts can show pay, and salary research exists by role/company/location.","no — Observed: official current guidance emphasizes location, ZIP, distance, and filters rather than a job map.","yes — Observed: current official guidance covers web and mobile search; the app adds push alerts, application status, employer messaging, and Career Scout.","partial — Observed: Company Reviews, public company/salary context, reporting/safety guidance, payment-method validation for sponsors, and platform quality standards. Not observed: universal workplace identity verification for every job or audited housing/meal terms.","yes — Observed: up to three eligible direct free jobs per month are described; Sponsored Jobs use daily pay-per-click or monthly pay-per-started-application depending on setup; current U.S. pricing says budgets start at $5/day or $150/month, subject to role/location/market and policy limits.","Observed: enormous cross-industry reach, current seasonal job-type filtering, detailed salary/review research, mobile workflow, job alerts, AI matching, and employer-side screening/sourcing tools.","Observed/inference: adventure work is a keyword slice of a general marketplace; housing and meals are unstructured; duplicate/aggregated source paths can complicate provenance; and lifestyle fit is weaker than the company/pay/career lens.","Inference: win on curated place-based inventory, structured living logistics and season dates, direct-source provenance, complete maps, and trust/freshness signals; use Indeed as a broad distribution/search benchmark, not as a model to match on total inventory.","https://www.indeed.com/career-advice/finding-a-job/guide-using-indeed.com-job-search;https://www.indeed.com/career-advice/finding-a-job/tips-on-how-to-get-better-search-results-on-indeed.com;https://www.indeed.com/career-advice/finding-a-job/how-does-indeed-work;https://www.indeed.com/hire/cs/pricing;https://www.indeed.com/hire/resources/howtohub/how-pricing-works-on-indeed","2026-07-12","96"
"ZipRecruiter","https://www.ziprecruiter.com/","Broad U.S.-led online employment marketplace, job distribution network, and AI matching platform.","Partial. Observed: seasonal/housing searches return relevant roles, but adventure/place-based work is not a first-class vertical.","Observed: general job seekers seeking matched roles and status alerts.","Observed: small/midsize businesses and enterprise employers across industries.","Observed: strongest in the United States, with broader North American/international services depending on product.","Observed: direct employer posting, distribution to 100+ job sites (including Google Jobs), AI matching/invites, reusable job slots, resume database, free trial, and Standard/Premium/Pro plans; mobile/email candidate delivery.","Partial. Observed: listings include company and job context, pay/highlights, and application flow; official public evidence did not show a Glassdoor-like deep review/profile layer as the core product.","partial — Observed: keyword landing pages and job text can expose housing, but no normalized housing filter/field was established.","partial — Observed: meals may appear in job text/benefits; no normalized meals field/filter was established.","yes — Observed: ZipRecruiter reported that more than 70% of its jobs included pay information in its current feature announcement, and it provides a public salary database and pay-oriented job previews.","no — Observed: current official evidence centered on title/location search, matching, alerts, and distribution, not a job map.","yes — Observed: official public pages promote iOS/Android apps, mobile job delivery, alerts, application-view notifications, and mobile employer workflows.","partial — Observed: application-view alerts, platform job-posting rules, employer dashboard/candidate management, 24/7 support, and controlled candidate messaging. Not observed: universal employer identity/workplace verification or independent housing verification.","partial — Observed: a free trial, flexible monthly subscriptions/job slots, pay-per-day options, and fixed-price/unlimited-application positioning are public; not public on reviewed current plan pages: generally applicable dollar prices, which are tailored to hiring needs.","Observed: broad distribution, proactive AI invites, large reach, strong mobile/status experience, salary visibility, and straightforward employer candidate management.","Observed/inference: housing/meals and adventure context are keyword-only; employer lifestyle profiles are shallow; public dollar pricing is opaque; and very broad inventory makes destination/season fit harder to evaluate.","Inference: structured seasonal-life fields, opportunity maps, destination context, field-level provenance/freshness, and cross-employer comparison can create value ZipRecruiter's reach/matching layer does not target.","https://www.ziprecruiter.com/about;https://www.ziprecruiter.com/mobile;https://www.ziprecruiter.com/post-a-job;https://www.ziprecruiter.com/plans;https://www.ziprecruiter.com/blog/new-job-seeker-tools/;https://www.ziprecruiter.com/Salaries","2026-07-12","94"
"Google Jobs / Google Search job results","https://www.google.com/search?q=jobs","Search aggregation/discovery layer fed by employer and career/job sites across the web.","Partial. Observed: users can search arbitrary job/location terms, so adventure jobs are discoverable; the product is not an adventure or seasonal-work vertical.","Observed: general Google Search users looking for jobs.","Observed: employers, career-site owners, and third-party job sites that expose crawlable job pages/JobPosting structured data; organic job results are not a paid listing product.","Observed: multiple countries/languages, but the job-search feature is not available everywhere; some specialized flows are U.S.-only.","Observed: jobs come directly from employers and career sites across the web; users click through to a source to apply; publishers can add JobPosting schema or integrate through a third-party site; relevance ranking is organic and personalized in some contexts.","Partial. Observed: eligible results can include employer logo, reviews/ratings, job attributes, and job details, but employer narrative remains at the source site.","partial — Observed: Google may infer benefits/attributes from descriptions, and housing terms can be indexed as text; housing is not a documented first-class JobPosting property/filter.","partial — Observed: meal terms can be present in indexed descriptions but are not a documented first-class discovery field.","partial — Observed: JobPosting supports an employer-provided baseSalary, which must match visible page content; visibility depends on source data.","no — location and commute-time features exist, but no public job-map browse view was established.","yes — Observed: the job experience is available through Google Search on desktop and mobile, subject to country/language availability.","partial — Observed: structured-data/job-content policies prohibit fake/misrepresented, expired, pay-to-apply, incomplete, and no-application-path jobs; users can report listings; sources remain external and quality varies.","yes — Observed: job-listing providers do not pay Google to appear in organic job results and cannot pay to influence organic job ranking; separate labeled Search ads may appear through the ads auction.","Observed: massive top-of-funnel reach, direct-host discovery, location/commute relevance, multiple source options, free organic eligibility, and standardized schema support.","Observed/inference: duplicated or fragmented sources, uneven data completeness, no consistent housing/meals structure, limited employer storytelling in-result, and no adventure-specific trust or lifestyle comparison.","Inference: become a high-quality structured source for Google while offering the deeper on-site map, living-logistics comparison, verification/freshness, and destination curation that search results cannot deliver alone.","https://support.google.com/websearch/answer/7498276?hl=en;https://developers.google.com/search/docs/appearance/structured-data/job-posting","2026-07-12","96"
"LinkedIn Jobs","https://www.linkedin.com/jobs/","Professional network plus broad job search, employer pages, recruiting, matching, and applications.","Partial. Observed: arbitrary keyword/natural-language search can find outdoor/seasonal roles, but the current standard employment-type filters do not make “seasonal” a core type.","Observed: professionals and job seekers using profiles, networks, skills, preferences, and job alerts.","Observed: employers, hirers, recruiters, and enterprise talent-acquisition teams.","Observed: global professional network and job marketplace.","Observed: one-at-a-time free jobs with visibility/applicant limits; promoted cost-per-click jobs with daily or total budgets; enterprise Job Slots/Job Wrapping; Easy Apply or external application; matching and recruiter tools.","High. Observed: Company Pages, employees, updates/content, recruiter identities, network connections, jobs, and page verification can provide rich employer context.","partial — Observed: housing can appear in job text/posts and keyword search; no dedicated housing field/filter was found in current official filter documentation.","partial — Observed: meals can appear in job text; no dedicated meal field/filter was found.","partial — Observed: salary can be provided with jobs/feeds, but current official general filter documentation reviewed here did not establish consistent pay visibility/filtering for all jobs.","no — Observed: current job discovery is list/filter/network based, not map based.","yes — Observed: official help documents full mobile search, save, alerts, Easy Apply/external apply, and mobile promotion.","partial — Observed: identity, workplace, Page, and job-post verification badges; recruiter/profile context; scam guidance; and reporting. Important limitation: the job badge is still available only to a select set/pilot of Jobs customers, so absence is not an adverse signal.","partial — Observed: the free-post limits and promoted CPC/daily-or-total budget model are public; actual promotion cost depends on job demand/title/location and no universal dollar price is published.","Observed: unmatched professional identity/network context, deep company/recruiter presence, verification signals, natural-language search, strong mobile flow, and employer sourcing/matching.","Observed/inference: seasonal/adventure and living logistics are not first-class; housing/meals are narrative; many meaningful features depend on an account/profile; and the professional-career lens can under-serve transient hourly/place-based work.","Inference: make seasonal/adventure the primary taxonomy, require structured living terms, enable no-network public browsing and maps, and show field-level source/freshness while retaining direct employer application routes.","https://www.linkedin.com/help/linkedin/answer/a511260/searching-for-jobs-on-linkedin?lang=en;https://www.linkedin.com/help/linkedin/answer/a507441/filter-and-sort-job-search-results?lang=en;https://www.linkedin.com/help/linkedin/answer/a1492056;https://www.linkedin.com/help/linkedin/answer/a519737/differences-between-free-and-promoted-jobs?lang=en;https://www.linkedin.com/help/linkedin/answer/a1602825","2026-07-12","95"
