"company_name","category","website","source_url","city","state","region","contact_name_if_public","contact_role_if_public","email_if_public","phone_if_public","contact_page","why_fit","likely_season","likely_housing","confidence_score","outreach_priority","verification_status","notes","last_checked_at"
"Three Rivers Resort","outdoor tourism operators","https://3riversresort.com/","https://3riversresort.com/our-story/","Almont","CO","Mountain West","Michelle Clark","Front Desk Manager","email@3riversresort.com","970-641-1303","https://3riversresort.com/our-staff/","Cabins, RV sites, restaurant, rafting, fishing, store, vehicles, and utilities create a broad seasonal staffing need.","Late spring through summer peak","Employee housing stated on official site — confirm availability","90","high","official_site_verified","PILOT_TARGET_RECOMMENDATION #1; not contacted and not partnered. CALL_READY_TOP_10 #1; internal recommendation, not contacted and not partnered. Official site says the resort has 120+ seasonal employees. Employee housing statement: https://3riversresort.com/lodging/long-term-housing/. Likely season is inferred; confirm dates and availability.","2026-07-12"
"Basin Harbor","seasonal resorts","https://www.basinharbor.com","https://www.basinharbor.com/contact-us/","Vergennes","VT","New England","","","stay@basinharbor.com","802-475-2311","https://www.basinharbor.com/contact-us/","Large Lake Champlain resort explicitly promotes summer work and operates lodging, dining, marina, recreation, and grounds functions.","Summer","Unknown — confirm with host","81","high","official_site_verified","CALL_READY_TOP_10 #2; internal recommendation, not contacted and not partnered. Official contact page explicitly describes a Vermont summer job; current openings, terms, and housing still require direct confirmation.","2026-07-12"
"Chautauqua Institution","seasonal work programs","https://www.chq.org","https://www.chq.org/employment/","Chautauqua","NY","Mid-Atlantic","","","employment@chq.org","","https://www.chq.org/employment/","Large summer assembly explicitly recruits seasonal staff across hospitality, venues, grounds, recreation, ticketing, and program operations.","Late June through August","Unknown — confirm with host","80","high","official_site_verified","CALL_READY_TOP_10 #3; internal recommendation, not contacted and not partnered. Official employment page states career and seasonal opportunities and publishes the 2026 Summer Assembly dates; availability must be confirmed.","2026-07-12"
"Farm & Wilderness Foundation","camps","https://www.farmandwilderness.org","https://www.farmandwilderness.org/contact-us","Plymouth","VT","New England","","","hiring@farmandwilderness.org","802-422-3761","https://www.farmandwilderness.org/contact-us","Multi-program residential camp on a large rural property needs counselors, outdoor staff, food service, farm, and facilities teams.","Summer","Unknown — confirm with host","81","high","official_site_verified","PILOT_TARGET_RECOMMENDATION #2; not contacted and not partnered. CALL_READY_TOP_10 #4; internal recommendation, not contacted and not partnered. Likely season is an inference from the summer-camp program; the official contact page publishes a dedicated hiring email.","2026-07-12"
"Gunstock Mountain Resort","seasonal resorts","https://www.gunstock.com","https://www.gunstock.com/contact/","Gilford","NH","New England","","","work@gunstock.com","603-293-4341","https://www.gunstock.com/contact/","Four-season mountain resort and campground offers operational roles across lifts, recreation, camping, guest services, and facilities.","Winter and summer peak seasons","Unknown — confirm with host","81","high","official_site_verified","CALL_READY_TOP_10 #5; internal recommendation, not contacted and not partnered. Likely season is an inference from the four-season operating model; the official contact page publishes a dedicated employment email.","2026-07-12"
"Snowbird","seasonal resorts","https://www.snowbird.com/","https://www.snowbird.com/contact/","Snowbird","UT","Mountain West","","Recruiting","employment@snowbird.com","801-947-8240","https://www.snowbird.com/contact/","Large mountain resort has direct recruiting contact and recurring needs across lifts, lodging, food, retail, guides, and facilities.","Winter ski season and summer activity season","Unknown — confirm with host","82","high","official_site_verified","CALL_READY_TOP_10 #6; internal recommendation, not contacted and not partnered. Likely season is inferred from official winter and summer operating contacts; confirm roles and dates with recruiting.","2026-07-12"
"Angel Fire Resort","seasonal resorts","https://www.angelfireresort.com/","https://www.angelfireresort.com/contact-us/","Angel Fire","NM","Southwest","","Human Resources","hr@angelfireresort.com","575-377-4227","https://www.angelfireresort.com/contact-us/","Four-season resort has a direct HR channel and operations across mountain activities, lodging, food, golf, and RV facilities.","Winter ski season and summer activity season","Unknown — confirm with host","82","high","official_site_verified","CALL_READY_TOP_10 #7; internal recommendation, not contacted and not partnered. Likely season is inferred from official four-season resort programs; confirm open roles, dates, and housing with HR.","2026-07-12"
"Redfish Lake Lodge","lodges","https://redfishlake.com/","https://redfishlake.com/contact-us/","Stanley","ID","Sawtooth Valley","Jeff Clegg","General Manager","jeff@redfishlake.com","208-774-3536","https://redfishlake.com/contact-us/","Remote lakeside lodge and marina combine accommodations, dining, waterfront recreation, events, and guest logistics.","Late spring–early fall peak","Unknown — confirm with host","73","high","official_site_verified","CALL_READY_TOP_10 #8; internal recommendation, not contacted and not partnered. Season inferred from alpine lakeside operations; confirm exact host dates. Human-resources email is also publicly listed on the source page.","2026-07-12"
"Roche Harbor Resort","marinas","https://www.rocheharbor.com/","https://www.rocheharbor.com/marina/","Friday Harbor","WA","San Juan Islands","Kevin Carlton","Harbormaster","marina@rocheharbor.com","800-586-3590","https://www.rocheharbor.com/marina/","Destination resort and working marina offer seasonal dock, lodging, dining, retail, grounds, and guest-service roles.","Summer marine-tourism peak","Unknown — confirm with host","90","high","official_site_verified","CALL_READY_TOP_10 #9; internal recommendation, not contacted and not partnered. Season inferred from marina operations and the official page's early-May to late-September colors schedule; confirm hiring window.","2026-07-12"
"Hana Farms","farms","https://www.hanafarms.com/","https://www.hanafarms.com/","Hana","HI","East Maui","","","customerservice@hanafarms.com","808-248-7371","https://www.hanafarms.com/","Remote tropical farm, bakery, market, and restaurant combine agriculture, food production, retail, and visitor service.","Year-round agriculture and tourism","Unknown — confirm with host","84","high","official_site_verified","PILOT_TARGET_RECOMMENDATION #3; not contacted and not partnered. CALL_READY_TOP_10 #10; internal recommendation, not contacted and not partnered. Season inferred from tropical agriculture and the official year-round weekly operating schedule; confirm exact host timing.","2026-07-12"
